发布时间,来源,标题,状态,答复部门,类型,链接
2018-10-10,反映问题,反映供暖问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40014.html
2018-10-10,反映问题,反映褔丰街噪音空气污染严重,已回复,环境保护局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40012.html
2018-10-10,反映问题,反映违建,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40010.html
2018-09-17,反映问题,反映大网改造何时完工,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39910.html
2018-09-17,反映问题,关于西林路早7:30-8:30车辆禁行,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39908.html
2018-09-17,反映问题,反映噪音扰民严重影响休息,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39907.html
2018-09-17,反映问题,客运枢纽站厕所究竟何时能整改,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39905.html
2018-09-13,反映问题,反映农校对面新安装隔离带扰民,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39892.html
2018-09-12,反映问题,反映手机被偷,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39881.html
2018-09-04,反映问题,反映春光早市有无搬迁计划,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39844.html
2018-09-04,反映问题,关于六小中午放学的安全和健康问题的反映,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39843.html
2018-09-03,反映问题,小区热泵房违建,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/39841.html
2018-09-03,反映问题,反映煤机厂公园晨练音响严重扰民,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39837.html
2018-11-20,反映问题,供热问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40234.html
2018-11-19,反映问题,供热不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40233.html
2018-11-19,反映问题,供热不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40226.html
2018-11-19,反映问题,供热不好,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40225.html
2018-11-19,反映问题,华泰新城9号楼5单元供暖不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40223.html
2018-11-18,反映问题,楼道内主管道坏了没人,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40222.html
2018-11-15,反映问题,佳木斯长青街北方家园小区院里雪无人清理,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40216.html
2018-11-14,反映问题,反映供暖不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40210.html
2018-11-14,反映问题,先锋路到胜利路何时能打通,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40208.html
2018-11-14,反映问题,反映供暖差,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40207.html
2018-09-02,反映问题,建议加宽顺德路,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39833.html
2018-09-01,反映问题,反映公交支付问题,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/39830.html
2018-08-28,反映问题,想咨询有摩托车三轮驾驶证可以骑两轮摩托车吗,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39800.html
2018-08-27,反映问题,反映客运枢纽站厕所卫生问题,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39792.html
2018-08-26,反映问题,反映在中心医院开不到抗癫痫的药苯巴比妥,已回复,卫生和计划生育委员会,反映问题,http://www.jms.gov.cn/html/zmhd/content/39790.html
2018-08-24,反映问题,反映红绿灯过少且设置不合理问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39781.html
2018-08-23,反映问题,反映调整胜利西路与学府路交通信号灯优化交通秩序,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39776.html
2018-08-23,反映问题,反映清理路边占道经营,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39774.html
2018-10-29,反映问题,反映火车站北广场出租车乱停,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40123.html
2018-10-28,反映问题,反映开美国际小区违建收费问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40122.html
2018-10-26,反映问题,反映暖气迟迟不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40112.html
2018-10-25,反映问题,反映长青街北方小区整栋楼不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40108.html
2018-10-25,反映问题,反映佳西街乐家超市户外播放音乐揽客,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40107.html
2018-10-25,反映问题,反映桥南市场早市收市不及时,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40106.html
2018-10-25,反映问题,反映暖气到现在都不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40104.html
2018-10-24,反映问题,反映道路破损急需修复问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40103.html
2018-08-10,反映问题,反映关于加强我市犬只管理的建议,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39694.html
2018-08-09,反映问题,反映长安社区路灯不亮,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39690.html
2018-08-09,反映问题,反映建国乡修路,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39687.html
2018-08-09,反映问题,反映胜利路与中山路交叉口及向西路段道路情况,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39685.html
2018-08-06,反映问题,关于特殊工种提前退休的认定,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39668.html
2018-08-06,反映问题,请及时关注并处置微信端交通违法举报信息,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39661.html
2018-08-06,反映问题,第六小学南综合楼项目,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39660.html
2018-08-06,反映问题,反映建国乡修路,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39659.html
2018-08-06,反映问题,反映小区用地占据问题,已回复,信访局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39658.html
2018-07-23,反映问题,社保卡注销,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39526.html
2018-10-29,反映问题,反映收费，不供热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40127.html
2018-10-10,反映问题,反映高铁佳木斯西站何时通公交车,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40009.html
2018-10-10,反映问题,铁路小区范围到底什么时候能给暖气？,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40008.html
2018-10-09,反映问题,反映佳木斯大学减速带,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40002.html
2018-10-09,反映问题,反映荷兰城游泳洗浴会馆噪声及荷兰城南门路面不平出行不便请求解决,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40000.html
2018-10-09,反映问题,反映顺和路烧烤店废烟排放问题,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39998.html
2018-10-06,反映问题,佳木斯枢纽站客服电话接线员态度恶劣,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39991.html
2018-10-05,反映问题,反映自来水水流太小影响我正常生活该怎么办,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39989.html
2018-09-30,反映问题,反映永安街粮食局家属楼违建,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39977.html
2018-09-30,反映问题,反映和平街何时能打通到胜利路,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39975.html
2018-09-28,反映问题,振兴佳木斯经济发展战略方案,已回复,发展和改革委员会,反映问题,http://www.jms.gov.cn/html/zmhd/content/39968.html
2018-09-28,反映问题,荷兰城观湖七号楼供热问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/39964.html
2018-08-23,反映问题,反映关于2018年后小学升初中问题,已回复,教育局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39771.html
2018-08-22,反映问题,反映每次开学老师都会要求学生买统一的作业本,已回复,教育局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39769.html
2018-08-20,反映问题,反映西林路万象街路口有人故意堆放易燃物品威胁公众安全,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39760.html
2018-08-20,反映问题,反映违章问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39759.html
2018-08-20,反映问题,反映设立斑马线问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39758.html
2018-08-20,反映问题,反映江边燃放爆竹,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39757.html
2018-08-20,反映问题,反映滨江路两侧停车,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39756.html
2018-08-19,反映问题,反映中元节,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/39751.html
2018-08-18,反映问题,反映火车站前林海路行人过马路问题,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39749.html
2018-08-18,反映问题,反映住宅小区内违建房屋,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39748.html
2018-08-17,反映问题,反映修灯，找谁谁不管，没办法只能麻烦政府,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39746.html
2018-08-17,反映问题,反映为百姓安装一个红绿灯这么难吗,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39742.html
2018-10-24,反映问题,反映中山桥下没有路灯漆黑一片,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40102.html
2018-10-23,反映问题,反映饭店排烟,已回复,环境保护局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40093.html
2018-10-23,反映问题,反映单位不给交养老保险,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40092.html
2018-10-22,反映问题,反映供暖问题主管道不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40088.html
2018-10-21,反映问题,反映鸿基家园小区何时供暖,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40083.html
2018-10-19,反映问题,反映燃气开通时间,已回复,燃气公司,反映问题,http://www.jms.gov.cn/html/zmhd/content/40080.html
2018-10-19,反映问题,咨询佳木斯市郊区政府下属农场路园艺场退休职工工资问题,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40077.html
2018-10-18,反映问题,反映道路路况问题,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40066.html
2018-10-18,反映问题,反映10路公交车问题,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40063.html
2018-10-17,反映问题,反映中山桥下没有路灯,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40055.html
2018-10-17,反映问题,反映护照过期20天请问怎么办理后续问题,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40054.html
2018-04-09,反映问题,反映网约车问题,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28764.html
2018-04-09,反映问题,二院随意缩短慢病开药时间提高慢病挂号费,已回复,卫生和计划生育委员会,反映问题,http://www.jms.gov.cn/html/zmhd/content/28761.html
2018-04-08,反映问题,反映新购房房屋补贴,已回复,财政局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28758.html
2018-04-08,反映问题,反映和平路口马路中间摆摊,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28756.html
2018-04-08,反映问题,反映二院随意降低慢病开药剂量并提高慢病挂号费,已回复,物价监督管理局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28755.html
2018-04-08,反映问题,反映二院随意减少慢病开药剂量并提高挂号费,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28754.html
2018-04-07,反映问题,反映无家可归老人夜宿街头请处理,已回复,民政局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28748.html
2018-04-06,反映问题,新建一座松花江公路大桥,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28744.html
2018-03-28,反映问题,反映市区路牌建设,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28703.html
2018-03-28,反映问题,反映佳木斯沁香华庭小区垄断小区宽带,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/28702.html
2018-03-27,反映问题,反映市区公交站牌破损,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/18701.html
2018-03-27,反映问题,安装在楼道里的自来水水表冻坏了却让住户买水表更换合理吗,已回复,龙江环保供水有限公司,反映问题,http://www.jms.gov.cn/html/zmhd/content/18697.html
2018-03-26,反映问题,反映佳木斯郊区原经编厂家属区道路问题,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/18696.html
2018-03-25,反映问题,咨询18年是否有计划,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/18683.html
2018-03-25,反映问题,反映污水污染,已回复,环境保护局,反映问题,http://www.jms.gov.cn/html/zmhd/content/18681.html
2018-03-23,反映问题,反映电表问题,已回复,物价监督管理局,反映问题,http://www.jms.gov.cn/html/zmhd/content/18671.html
2018-07-23,反映问题,反映佳木斯到桦川修路限行问题,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39521.html
2018-07-23,反映问题,反应火车站停车难,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39519.html
2018-07-20,反映问题,异地住院报销,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/29509.html
