信件标题,信件编号,办理单位,状态,类型,链接
违建 私自占用停车位,G20181219-0041,西岗区香炉礁街道,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167c5fda95614ee
辛寨子大辛村西街,G20181219-0006,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167c3eb0aef138b
建议成立残疾人保障金，保障每位大连残疾人生活资金；,G20181218-0104,大连市残疾人联合会,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167c01caa9711d7
专职律师申请转为兼职律师需要哪些手续,G20181218-0103,司法局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167c016274711cf
甘井子区泡崖街道大门紧闭，将群众拒之门外,G20181218-0092,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167bfcb7bc11194
后盐,G20181218-0080,大连市土地储备中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167bf7c3c211162
幼儿园作业压力过大,G20181218-0081,甘井子区人民政府,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167bf72fa09115c
公司注销办理,G20181218-0023,行政许可科,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167bec6597310a7
公积金提取,G20181217-0040,大连市住房公积金管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167bb838a7c0f6f
车辆免检最后取证时要求必须关注一个‘为车行’的公众号,G20181217-0037,旅顺口区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167bb590d830f57
房屋执照所有权人变更,G20181217-0026,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167bab065580e39
房产执照所有权人名称变更的咨询,G20181217-0025,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167baa500b50e33
房产执照的所有权人变更的咨询,G20181217-0024,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ba9599150e2a
关于二级建造师学习的问题,G20181217-0018,城乡建设委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ba448fbb0dfc
请问体育新城岭西路以北，招商海德公园小区以西如何规划,G20181216-0026,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167b6781c700c59
关于中小学教师资格证面试现场确认时间问题,G20181215-0014,教育局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167affd38fb0a03
违法建筑严重影响几十户居民的采光权,G20181215-0013,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167afe367dc09fa
违法建筑严重影响几十户居民的采光权,G20181215-0012,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167afdaa1ac09f8
违章建筑严重影响几十户居民的采光权,G20181215-0011,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167afcd943509f1
要求对“大金普财信告字（2018）78号、80号、81号”进行行政复议,G20181214-0193,政府法制办公室,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ad2f96ea093e
关于大连市二胎奖励政策的具体实施办法和执行开始时间,G20181214-0139,家庭发展处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ab836fec0810
远洋荣域小区物业招标,G20181214-0071,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167aa9f4128073c
龙王塘国宝星月湾和海珠花园间的河流在进行什么施工？,G20181214-0039,龙王塘街道办事处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167aa7b2ec606eb
大连甘井子远洋荣域小区物业违规一事,G20181214-0030,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167aa70a76906d8
身为人民教师，语言恶略,G20181214-0001,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a8ba9a5d05e8
供暖单位愚弄政府，,G20181213-0048,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a76373bb0538
感恩12345解决了家里取暖！感恩每次的认真对待。,G20181213-0042,供热办,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a701673604ff
大连职业技术学院附近浴池哄抬价格并恐吓学生。态度恶劣,G20181213-0022,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a604aefe046c
旅顺口区天光街23号楼暖气不热,G20181213-0018,旅顺口区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a5bacb22043c
大连松下华录电子有限公司低价转卖国有资产设备,G20181213-0012,高新技术产业园区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a59779520427
投诉大连市公证处,G20181213-0006,司法局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a516d6a203c8
大连弘润置业有限公司欠赔偿费,G20181212-0012,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a1163f39020f
请问住房补贴已经过了三个月，何时能发放谢谢。,G20181212-0008,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a0e0a96d01de
想了解公司注册相关要求及流程,G20181212-0007,甘井子区市场监督管理局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a0afc3f701c8
二胎报销,G20181212-0003,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a011e6bc017b
关于大连汽车职业技术学院下设机构和下设机构招生资质的咨询,G20181211-0038,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101679c53f357277b
小区供暖不行,G20181211-0031,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101679bf4e8512739
感谢市文体局、甘井子区文体局,G20181211-0027,甘井子区人民政府,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101679bc56bf42712
要求依法归还融庄小区业主委员会印章，业委会备案书,G20181210-0053,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016798872fe52581
查处甘井子区辛寨子街道办事处违法行为,G20181210-0052,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167985486442570
甘井子区辛寨子街道办事处违法推翻我小区正常业主大会公开招标结果的决议,G20181210-0044,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101679815520f254e
甘井子区亿达春田社区无理由扣留亿达春田融庄小区业主委员会印章,G20181210-0043,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167980cf62b2546
世嘉星海小区物业管理用房交接手续备案,G20181210-0034,沙河口区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016796c52365248f
住房公积金贷款,G20181210-0031,大连市住房公积金管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167969526302465
万科翡翠四季售楼处南面的开山路（直通虹城路）是否确实有,G20181210-0025,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167962b7d4d2418
西岗区人民广场街道和区物业办对其各自职责不作为,G20181210-0019,西岗区人民广场街道,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016795ffcd0023e9
新居漏水无从解决,G20181210-0006,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101679595e3a92378
给郭云峰区长的一封信,G20181210-0005,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101679590c4402371
中华路西延线路,G20181210-0004,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167958ec88d236d
继续请求给80岁老人家里升温到18度以上！,G20181209-0027,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167927f09d721e2
给甘井子区卫计局王继满局长的一封信,G20181209-0010,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016790eab4af20eb
"80岁老人在家依然很冷。温度从12度升到15度。问题从暖气冰凉,转化成了热水不够加压不够维持室内最低18度的问题。",G20181209-0011,供热办,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016790e9749f20e9
祥龙北园11号楼18层3号擅自切断排污通气管导致全楼臭气熏天,G20181209-0002,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101679071200d2095
已经联系媒体爆料！举报驾校！举报交管所！,G20181208-0026,金普新区管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678e5d00931fc7
举报驾校！举报交管所！已经联系多家媒体爆料！,G20181208-0025,金普新区管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678e4e19d61fbf
投诉世嘉星海小区21号楼1单元701室供暖不达标,G20181208-0024,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678d9482381f7f
咨询向哪个部门领取融雪剂？环卫处？,G20181208-0021,旅顺口区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678cf6864b1f39
业主临时停车场大雪坡陡上不去，了解到职能部门会发放，如何领取？,G20181208-0020,旅顺口区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678ceea3841f35
"暖气不热家里14度,冻的80岁老人跪地求菩萨",G20181208-0019,供热办,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678cbabc311f1d
退伍军人异地认证,G20181208-0008,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678bc38b5e1e97
暖气不热与供热公司多次沟通未果,G20181208-0007,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678b978f7a1e87
世嘉星海二期，供暖不足，晚上会被冻醒,G20181208-0006,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678b8a893d1e81
"救救家里老人吧！暖气平时温热,又大降温时候不给热压,冰凉！",G20181208-0005,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678b7134361e73
小区供暖问题,G20181208-0003,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678b2e998d1e4b
甘子井B5区MG.秀潮牌美业老板跑路，把店铺转让给新老板，新老板不承认以前的会员，导致会员卡了的钱用不了,G20181207-0109,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016787b520b21c62
大连新农合政策2019年,G20181207-0107,卫生和计划生育委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167879f87c81c28
辛寨子c6口,G20181207-0102,大连地铁集团有限公司,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167879852d81c16
大连住房保障公众号预约及申请表下载,G20181207-0029,住房保障中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678660f7d619d4
请帮助我们解决供暖不热问题,G20181206-0078,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016783c34d531870
投诉圆通快递,G20181206-0061,大连市邮政管理局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016782b0f4df1792
大政办发【2018】31号文件关于限购政策,G20181206-0062,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016782ac90bb1790
咨询职能部门对消费纠纷延期处理的原因,G20181206-0060,星海湾管理所,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016782a732c8178c
大连兰克艺术学校缺乏室外操场，学生室外活动课特别少，严重影响健康成长,G20181206-0051,教育局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016782371aa81710
万科翡翠四季到虹城路的直通路是否有，如有，何时开工建设,G20181206-0016,甘井子区交通局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167813da42f162b
港口经营许可咨询,G20181206-0014,港口与口岸局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678137de3d1625
一楼开餐馆，楼道味道就像潮湿地下室发霉了的味道,G20181206-0010,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016781154de61601
咨询地铁2号线213标段进展,G20181206-0008,大连地铁建设有限公司,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016780f8c51215dc
生态科技创新城并入高新区时间和模式,G20181206-0005,高新技术产业园区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016780f3392a15d3
滨海中路华侨别墅违建和违规倾倒掩埋建筑垃圾,G20181205-0039,中山区行政执法局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101677d60059813f7
大连旅顺口区凤河河质检测指标,G20181205-0024,旅顺口区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101677c77f81a133e
小区容积率可否进行调整？,G20181205-0023,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101677c725054133b
工作调动，对方没接收，公职没有了,G20181205-0003,金普新区管理委员会,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101677bb69e011282
关于2018年养护机械设备采购项目投标存在舞弊举报,G20181204-0087,金普新区管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016779caa42b1190
金州落户相关准备材料咨询,G20181204-0045,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101677879e3f21027
开《婚姻情况证明（初婚）》，不给修改证明文件的模板，不给加其他字样。但是开了也没有作用。,G20181204-0032,沙河口区黑石礁街道办事处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016777c83a180f89
开《婚姻情况证明（初婚）》，不给修改证明文件的模板，不给加其他字样。但是开了也没有作用。,G20181204-0031,沙河口区黑石礁街道办事处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016777c7e7c90f88
开《婚姻情况证明（初婚）》，不给修改证明文件的模板，不给加其他字样。但是开了也没有作用。,G20181204-0030,沙河口区黑石礁街道办事处,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016777c783dc0f87
融汇银城，是不是违建？,G20181204-0026,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016777ad32170f6c
大连市沙河口区春柳公园19号楼暖气进水温度不达标,G20181204-0019,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167773b16a60f1a
退休金,G20181204-0017,甘井子区人社局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016776e58ab20ed5
历史遗留问题房屋产权办理,G20181204-0018,交易发证中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016776dc162f0ecc
国土局政府信息公开未以正规格式回复。,G20181203-0064,物业安全处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167737090be0cf3
恳请保税区市场监督管理局查处大连丰宇国际贸易公司涉嫌违法违规经营问题,G20181203-0045,金普新区管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016772e3454f0c65
恳请局长重视中央巡视组督办的受害人反映大连华夏文交所违规经营的信访案件,G20181203-0043,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016772df58980c62
咨询鹿山小区瑞迪物业备案情况,G20181203-0028,旅顺口区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167723b00650bdd
三鼎春天被淹，物业拒绝管理,G20181203-0016,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016771f66c060b9d
关于天下粮仓小学建设问题，为什么迟迟不建设！,G20181203-0018,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016771f402890b99
小区容积率可否进行调整？,G20181203-0002,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167713ec3810b18
关于刘德勇和大连隆马生科商贸有限公司销售超范围使用食品添加剂的食品的投诉举报信,G20181202-0021,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101676f45030b0a59
大华配套中小学,G20181202-0017,高新区文教卫生局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101676e76caa109fc
诈骗千万的房先生不动产连锁公司,G20181202-0009,中共大连市委大连市人民政府信访局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101676dc297e10996
大房局发【1999】14号文件,G20181202-0003,国土资源和房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101676cbe96b8091d
大连市甘井子区宏孚街小区“温暖工程”已安装塑窗问题。,G20181201-0005,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016769d0d1a2080e
