反映内容,反映时间,反映标题,反馈时间,受理单位,受理编号,处理状态,答复内容,链接
我的儿子是2018年考入大连兰克艺术学校（开发区龙泉街）的，由于该学校体育课、室外活动课、课间操安排的特别少，尤其是体活课每周只安排一节课，使学生们的室外活动量特别少，严重缺乏身体锻炼。我儿子不到半年时间，就呈现肥胖病症，儿子的同学们或多或少也有这样的症状，主要原因是缺乏锻炼的结果。同时，这个学校还没有必须具备的操场，学生们下课后，多是呆在教室里，没有充足的室外活动场地。孩子正是生长期，学校应严格按照高中办学要求，设置足够大的操场，给学生安排充足的体育课、室外活动课，让孩子们得到充分的身体锻炼，才能保证健康成长。也希望教育部门加强对兰克学校的监督，确保他们按规定办学，确保孩子健康成长。对此，我将跟踪监督，希望教育部门高度重视。,2018-12-06 14:35:32,大连兰克艺术学校缺乏室外操场，学生室外活动课特别少，严重影响健康成长,2018-12-12 13:20:18,教育局,G20181206-0051,已办结,尊敬的网友您好：经了解，学校按教学计划开设执行相关课程，为益于学生身体健康，下一步，学校还有计划购置增添文体器材供学生锻炼使用。对于投诉人所诉情况，我处要求学校依法依规办学，加强与学生、家长的沟通联系。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016782371aa81710
2018年金州新区公路管理段养护机械设备采购招标过程中，供应商与公路管理段领导在其投标过程中，向中标单位提供投标内部信息。并且中标单位投标有不实情况。,2018-12-04 23:24:12,关于2018年养护机械设备采购项目投标存在舞弊举报,2018-12-24 10:27:47,金普新区管理委员会,G20181204-0087,已办结,市12345平台：新区交通局于12月5日接到0087号关于金普新区公路管理段在养护机械设备采购过程中，向中标单位提供内部信息。并且中标单位有投标不实的情况，希望相关部门核实处理的留言信息后，立即进行调查处理。经调查，一是不存在向中标单位提供内部信息的情况。项目需求及技术参数在网上招标公告中均有体现。二是中标单位有投标不实的情况请向招标代理发函质询，并且需在中标公示期内提出疑义。2018年12月7日上午08时45分工作人员与诉求人取得联系，向其反馈调查处理结果，诉求人表示理解。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016779caa42b1190
保税区丰宇国际贸易公司超范围违法经营，在不具备文化艺术品经营证照经营范围情况下，伙同其他交易平台公司涉嫌非法宣传销售组织期货和类证券交易，致使我蒙受巨额损失，生不如死，无法生活下去。另外保税区辖区民警到该工商注册地址保税区泰华大厦B座314核查时，根本没有该公司办公，实属虚假申报注册地，或者违反工商法规变更注册地址需要申请工商市场监督管理局变更备案，恳请保税区市场监督管理局彻查此事，依法依规进行处理，核实是否是空壳非法经营公司，是否是超范围经营，如情况属实请按照法规依法依规吊销其营业执照和不予年审。对涉嫌违法行为移送公安司法机关依法处理。谢谢！,2018-12-03 15:15:39,恳请保税区市场监督管理局查处大连丰宇国际贸易公司涉嫌违法违规经营问题,2018-12-05 13:12:04,金普新区管理委员会,G20181203-0045,已办结,尊敬的网友您好：通过企业登记经营场所及电话无法取得联系，查无下落。监管人员于12月4日将该被投诉方打入异常名录。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016772e3454f0c65
你好：本人是甘井子区椒金山街道龙江社区宏孚小区居民。现反映一事。本楼区在2015年由政府出资修缮老楼做温暖工程项目，现在看总体可以，但分部各家具体有问题。我家阳面、阴面及厨房三处塑窗都在此时统一更换掉原来塑窗。新窗质量令人忧，一是窗框有的是拼凑的，已有原来钻研，当时安装人也说明这些。窗扇与窗框有大缝隙，担心自然松动脱掉下来！二是更严重有的窗扇已不能拉动，滑动轮与窗扇间有问题。总说制作等程序存在较严重问题!!这些问题是否有部门负责管理？？谢谢。希望能派人简单维修处理好。,2018-12-01 20:54:49,大连市甘井子区宏孚街小区“温暖工程”已安装塑窗问题。,2018-12-29 10:40:51,甘井子区人民政府,G20181201-0005,已办结,尊敬的网友您好：和投诉人联系，告知投诉人窗户已过保修期，区城建局再负责维修。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016769d0d1a2080e
网约车驾驶证怎么办理？,2018-11-29 10:38:25,网约车驾驶证怎么办理,2018-12-04 15:30:57,大连市出租汽车管理处,G20181129-0026,已办结,2018.10.18日8时28分，电话联系苏先生，就网约出租汽车驾驶员从业资格证报名相关问题进行了回复，并告知郑先生培训科咨询电话：82870363，窗口工作人员可随时就报名中的相关问题进行电话解答。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675d52d9c2020b
小区1＃15＃16＃楼于2018年9月30日未竣工验收交房，民心网回复后续整改于11月中旬补充单体竣工备案中，作为业主有以下疑问需有关部门给予回复：1.执法部门对开发商未竣工验收交房进行的处罚信息是否有公示？2.单体竣工备案信息公示如何查阅?未见相关网站有公示。3.单体竣工验收合格备案是否需满足消防验收公示、环保公示，水暖电部门验收合格后档案备案方为合格、公示？4.本小区未综合验收（目前临水，临电，燃气未验收，小区施工未安全完毕，未封闭等），是否已符合交房标准？单体竣工验收是否也需在满足综合竣工验收，七通一平前提下，方可交房？5.质监站回复不对水暖电通讯等部门验收监管，但本小区1＃15＃16＃已竣工备案，由开发商自行组织认证竣工验收，如何保证和确认本小区的配套工程已完备？是否可公示？6.单体竣工备案已出，为什么业主需要配合燃气公司封闭管道，以及未来的试压？是否符合交房程序？7.小区除了3个单体主体交付，红线内别墅依然在施工期，路面，绿化，配套设施等没有综合验收，小区未封闭，物业公司却已进入并收取物业费，是否符合物业管理办法？小区物业费收取是否有标准及相应物价管理？8.小区内别墅赠送小院，地下夹层，地下车库与规划不符合，是否违规？开发商将规划地下停车位全部赠送，洋房业主及公寓业主不享有地下停车位，如何解决未来停车问题？1.请明确大连市交房标准。2.请明确相关公示信息网站。3.请明确相关监督部门职责。,2018-11-28 13:25:17,金地保利墅苑风华未竣工验收，设施不完备交房,2018-12-19 09:44:18,甘井子区人民政府,G20181128-0025,已办结,经过调查了解，该工程竣工验收备案已办理完毕并已公示在大连市建委网站，消防、环保、自来水、煤气、绿化等各部门的验收或公示有各自主管部门进行管理，不在我站公示范围，地下车库按图施工符合要求。同时要求将未验收合格擅自交付使用的处罚公示问题转至大连市建委建设执法监察支队进行处理。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a0016758c49bd50492
请规划局领导告知甘井子区美林园小区规划的停车位数量（包括地上地下）,2018-11-26 15:44:25,咨询规划车位数量,2018-11-27 14:30:47,规划局,G20181126-0003,已办结,尊敬的网友您好：您在咨询件中提及的“甘井子区美林园小区规划的停车位数量”事宜，经查，您咨询的信息我就不存在。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001674ef958d10008
大连亿丰汽车城所在地址为甘井子区西北路872号开发商为大连亿丰置业有限公司前期物业为大连亿丰汽车城管理有限公司现由大连领航家经营管理有限公司为何两家物业服务有限公司同时管理.,2018-11-26 18:16:52,大连亿丰汽车城,2018-11-28 15:39:16,甘井子区人民政府,G20181126-0015,已办结,尊敬的网友您好：亿丰大连汽车城项目是2013年由上海亿丰企业集团大连置业有限公司开发建设，并于2014年年末正式开业运营，2017年该项目对物业公司重新进行招投标，最终确认大连领航家汽车城经营管理有限公司为该项目物业管理公司。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001674f8209ce0048
反映内容大连金诚供暖有限公司提供所在地区大连甘井子区革镇堡街道棋盘棋盛园小区冬季供暖服务依据大连市供热用热条例该单位未取得供热行政许可证。根据《辽宁省城市供热条例》《大连市供热用热条例》供热办现行都在使用之前的供热备案，未依法根据《辽宁省城市供热条例》《大连市供热用热条例》进行审批颁发供热许可证制度。受理单位甘井子区人民政府答复内容接到诉求人反映的问题后，区供热办已联系诉求人，金诚供热公司是一家正规有资质的供热单位，已告知诉求人已办理供热许可证，只是甘井子区所有供热企业的证还没有下发下来请问甘井子区政府该企业2010年就已经从事该小区冬季供暖长达8年的时间里证一直没下来？请问甘井子区政府该企业何时何年供热许可证能下来。,2018-11-26 19:09:00,受理单位甘井子区政府,2018-11-27 11:50:56,甘井子区城建局,G20181126-0019,已办结,多次重复投诉，也多次解释过，诉求人表示不理解。已告知诉求人金诚是正规供热单位，营业执照整个甘井子32家供热企业证已办理，只是没有下发。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001674fb2357f0066
本人于2018年11月24日19：00在大连市甘井子区美域盛景小区家家乐市场内的生活家超市通过微信支付购买由大连林家铺子食品股份有限公司生产的香辣黄花鱼罐头一盒本人全家于2018年11月25日午餐及晚餐食用该罐头后均感不适，特别是本人在25日夜间一直腹泻不止，本人在2018年11月26日早餐再次食用后发现在该罐头的中下部有烟头一枚。本人于2018年11月26日8：00电话联系林家铺子厂家，由一名徐姓业务人员接待，在当日16：40左右徐姓业务人员代表厂家给来解决意见归纳起来就是厂家整个生产包装流程均无问题言外之意就是消费者在讹诈企业作为一个以前林家铺子这种本地企业坚实的拥趸，同时也是一个普通消费者在忍受身体上的伤害还要忍受精神上的诬陷我感到无法接受现请求大连食品药品监督局和金普新区食品药品监督局作为政府职能部门彻底严查本事件对该企业该批次产品进行抽查给普通消费者一个满意的答复。,2018-11-26 22:07:56,关于大连林家铺子食品股份有限公司罐头食品的投诉建议,2018-12-03 13:53:35,金普新区管理委员会,G20181126-0024,已办结,"尊敬的网友您好：孙先生要求两位成人全面体检,大连中心医院的;一位儿童全面体检,大连儿童医院的。11月28日，林家铺子方面接孙先生参观了工厂，解释了工厂对食品安全的重视。下午，孙先生表示满意。",http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a00167504974b600a4
本人是山屏花园小区业主，根据大连市供热用热条例现对大连中政供暖物业管理有限公司进行投诉。该公司没有按照条例要求对山屏花园小区进行供热，尤其在夜间压根没有供热，室内温度没有达到18度标准！现请相关部门对该公司进行查处并要求该公司上门进行测温服务！,2018-11-27 08:30:04,大连中政供暖物业管理有限公司服务不达标！,2018-12-03 15:15:56,中山区供热办,G20181127-0004,已办结,尊敬的网友您好：经与住户联系，由于住户家中没人，已与住户约定好时间上门查看，谢谢！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a00167528933ea0135
我是金州区杏树屯镇李堡的一个居民2018年10月28日我村实施修路入户政策就是根据国家规定村路柏油马路必须铺到每家每户门口，但是我们家受到了刁恶村民和村委联合侵占我家利益的事情。事情是这样的我们家是村里最后一排街道？该街道曾有4户住户后来一住户去世他们家的房子让一个叫王田坤的人购买？这个王田坤是王有本的儿子因他事业比较大所以在我们村全是挺有钱一家业户，这次阻碍我们修路的人就是他们一家，他家的地理位置在我居住的街道之前。可以形容成前街，但是不算前街，因为这条前街只有他一家居住。而且他们家目前居住的房子并没有合法的房照。在他家前街，是一条长街，算是村里的主干道。这条长街最边缘有一家名叫王田盛的住户这个人也很蛮横几年前多次侵占主干道的公有道路，最早那条主干道有67米的宽度后期被该人破坏占据成私有土地。发生这件事之后王有本一家也开始侵占原有的公有道路，仅剩二三米。以至于正常机动车无法通行，针对他们占道一事，我们曾经多次向村委反应，并且和两家调节，村委却一只推辞说管理不了！最后让我们家和他们两家结下梁子。我们投诉无门，无奈之下为了我们家出行方便我们在我们家个人的承包土地中开辟了一条道路供我们个人行走，而原有的被破坏的公有道路越来越窄，仅能让摩托车通行。后来王有本自己也开辟一条私人道路供自己一家行走，这条道路直通往村里的主干道。以上为前提条件，然后说一下10月28日发生的事情，村委的修建队从我们的主干道过来，不知道出于什么原因修建了王有本家私自开辟的道路，直通人家门口。往不好听的说这是村委直接为他家一户服务的道路。修建完毕之后打算修我们那条街的道路时王田坤和他的妈妈出来把施工队的车拦下了！不让修建队继续修下去。当时我们并不知道这件事情以至于没能立马报警解决他们的阻拦，而村委调节无果只能把施工队撤走。之后村委才电话通知我们。我们询问为什么他们有权利阻止修路，村委的回答是王田坤在我们这条街上有住宅，他有权利提出异议说只修原有的公共道路，不允许修我们一家开辟出来的道路。若要修我们家开辟出来的道路也行，但是必须允许所有人行走，然后原有的公有道路必须要承包给王有本一家。我们当即提出修公有道路时，村委人说，公有道路我们修不了了，原因是这条公有道路被上述两家人霸占了，而村委无能，不能推人家房子也不敢砍人家的树。(原话是：我们村委无能，人家房子我不敢扒，树也不敢砍。)言外之意就是说我们如果想修路只能无偿的答应人家把承包的农田变为公有道路，然后还要必须同意原公有道路归王有本所有。发生这一切的时候我当时并不在家，家中爷爷奶奶不懂法但是知道被人欺负了，可是又不能不妥协，因为在王有本一家的威胁阻扰下，村委和修路施工队也在威胁我们说：这个协议你们要是不同意，这个路我们就修不了了，我们就撤队，而且只要我们撤队了，以后谁让我们回来都不可能。你们自己想办法解决。我爷爷奶奶打听一下自费修那条路几乎要六七万的价格气的一病不起，但是害怕施工队走只得口头答应先同意协议修我们家的开辟的道路，也就是把我们家原承包的农田强制变成公有道路，并且原公有道路给王有本一家征用我们没任何补偿。而且原公有道路征用费用也没透明的告知我们。2018年10月29日上午我返回家中，施工队已经在我们家的道路上施工，当我听说公有道路归王有本所有，而且占用我们的地没任何补偿时我提出抗议，施工队立马说你们要是不调节好我们立马把车开走，这个路挖成这样你们自己处理。我只得又被迫妥协。下午一点村委强制我们一条街四人去村委会签不平等协议，而在这之前，王田坤曾开车带我们村书记李国斌去公有道路现场商议规划，而详细信息并不告诉我们。我曾询问过村长李传生，正常来说那条公有道路是不是应属于我们一条街的所有用户吗？为什么可以不经过任何人同意修建王有本家私人开辟的道路却给我们签这种不平等协议？村长李传生拒绝回答我的问题。而且我爷爷也吓得连忙阻止我发问，这时候我才意识到，修路施工队之所以很坚决的要撤走是村委的意思。我只得作罢，这段话我是有手机录像为证据。后来在签不平等协议事，我一度尝试拒绝签，并且询问李国斌书记，是否我不签协议你们就不给我修路，书记跟严肃的说，对。这段话我也有录像作为证据。我只得被迫签下协议，期间王田坤还在一只要求要更多的土地。签完协议之后我们被请出村委，而王田坤还留在村委不知道在商议什么事。事到如今，我们恐慌村委出尔反尔不肯修路，我们一直不敢对这件事往上级反应。但是施工队施工进度一拖再拖，修完路面之后始终不肯上沥青路面收尾。最近我们得知沥青路面需要明年再修，我们只能现在告发这件事。我认为我作为中华人民共和国公民，我有权利对村里黑恶势力做出抗争，而且有权利对村委干部等人的不作为提出批评，最后我还要对村委干部是否贪污，官民勾结提出质疑！,2018-11-27 13:09:15,举报大连市金州区杏树屯镇李堡村委无作为，恶民猖狂欺人。,2018-12-11 13:32:24,金普新区管理委员会,G20181127-0030,已办结,尊敬的网友您好：了解情况后与石家村书记进行联系，经村书记反应，经过村多次调解，该农户反应的事情双方已经达成协议，同意继续修路，并且村里将该农户反应的一系列问题全部予以解答形成材料以及双方签的协议一并复印交至街道。12月7日上午，街道农业科工作人员打电话将该结果告诉诉求人，但他表示不认可，认为问题仍未得到解决，之后该农户表示可约定时间到村里，与村书记主任当面协商解决问题。12月10日上午9点半，该村民到村里与村书记主任反应并解决该问题，街道农业科工作人员也来到石家村，经过村领导与该农户的详细解答，该村民及其家人表示认可调解结果。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001675391734601da
保安为讨好领导在院内私占停车位，说是给领导留的，陪同办事人员大冷天在门外等候，一点人道主义没有，政府职能部门作出如此龌蹉行为，中国教育能好吗,2018-11-28 08:38:07,乱用职权,2018-11-29 12:03:17,甘井子区人民政府,G20181128-0005,已办结,尊敬的网友您好：针对您反映的问题，区教育局已调取录像，并在内部召开保安工作人员专项会议，通报有关情况，并对相关人员进行批评教育。对诉求人造成的不适，区教育局深表歉意，将进一步严格要求教育局全体工作人员。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a0016757bacd2a03de
"1.如题在10月中旬因不明原因导致题目所在居民及周边几户居民饮用水停止没有水的情况下只能去周围水井打水生活！2.一个月以来居民曾与相关部门沟通维修，可自来水部门口头答应但仍无作为，目前无任何人推进维修问题，无任何人联络解决目前吃不上水问题！无任何政府相关关怀！3.眼看气温下降上冻，希望政府能尽快解决供水问题！让老百姓能过好年！4.最新了解居民曾与当地水站工作人员联络,一位姓姜自称水站站长说需要居民自行找到问题点挖开图层他们可以给修,居民现在83岁,如何挖？然后说这个问题他不管爱哪告哪告。5.居民拨打12345热线，有领导答应解决，但是来人说是当地政府安装电线杆挖断多处水管线导致停水，他们也管不了。6.但从24号至今无人再问此事。7.我将持续跟踪推进解决此维修进度！",2018-11-28 09:06:07,复洲湾裴屯村蔡屯185号居民及周边居民停水长达一个月！,2018-12-12 13:23:44,金普新区管理委员会,G20181128-0008,已办结,"市12345热线：接到诉求后，街道领导十分重视，立即责成相关责任人到现场进行调查处理，现将调查处理情况汇报如下：一、诉求情况1.如题在10月中旬因不明原因导致题目所在居民及周边几户居民饮用水停止没有水的情况下只能去周围水井打水生活！2.一个月以来居民曾与相关部门沟通维修，可自来水部门口头答应但仍无作为，目前无任何人推进维修问题，无任何人联络解决目前吃不上水问题！无任何政府相关关怀！3.眼看气温下降上冻，希望政府能尽快解决供水问题！让老百姓能过好年！4.最新了解居民曾与当地水站工作人员联络,一位姓姜自称水站站长说需要居民自行找到问题点挖开图层他们可以给修,居民现在83岁,如何挖？然后说这个问题他不管爱哪告哪告。5.居民拨打12345热线，有领导答应解决，但是来人说是当地政府安装电线杆挖断多处水管线导致停水，他们也管不了。6.但从24号至今无人再问此事。7.我将持续跟踪推进解决此维修进度！二、调查情况接到诉求后，街道领导立即责成马晓光部长负责调查处理。经查，诉求人反映情况属实。三、处理情况针对诉求，街道领导与自来水公司和电业部门进行协调解决，但电业部门不认为是由于安装电线杆挖断的供水管线，不予以解决。为解决诉求中的供水问题，街道决定与自来水公司共同负责。2018年12月8日，街道领导与复州湾自来水公司到现场查看，研究如何对原黏土矿铸铁管与管卡进行疏通。2018年12月9日，复州湾自来水公司工作人员对主管线的堵塞管卡进行疏通，并取出了堵塞物。2018年12月12日上午，街道李殿卿与复州湾自来水公司修经理到现场查看通水情况，主管线已正常通水。但通往住户的分支管线中仍有堵塞，无法通水，按照自来水公司的相关规定，通往住户的分支管线需住户自行承担费用，诉求人表示对处理结果不满意。",http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a0016757d4094203f1
咨询下大连市沙河口区连华街61号楼的产权单位，能否办理房屋产权证及过户？该楼一直找不到产权管理单位。,2018-11-28 10:12:53,咨询下大连市沙河口区连华街61号楼的产权单位,2018-11-29 11:06:47,国有房产管理中心,G20181128-0013,已办结,尊敬的网友您好：原大连市房管局2003年改制后，大连市使用权房屋已无统一管理单位，住户楼房产权单位以租赁证上印章为准。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001675812e01e041b
